"","variables","factor","loading"
"250","demo_comb_income_v2","5",0.0457921338235518
"251","crpbi_parent1_y","5",0.016494053909621
"252","crpbi_caregiver12_y","5",0.0253390135536572
"253","crpbi_parent2_y","5",0.0176960222733946
"254","crpbi_caregiver13_y","5",0.0242536442380481
"255","crpbi_parent3_y","5",0.040546774952008
"256","crpbi_caregiver14_y","5",0.020434221739487
"257","crpbi_parent4_y","5",0.0267345515374775
"258","crpbi_caregiver15_y","5",0.0575492713603924
"259","crpbi_parent5_y","5",0.0200001590810952
"260","crpbi_caregiver16_y","5",0.0386045015738604
"261","fes_youth_q1","5",0.112937860115979
"262","fes_youth_q2","5",0.0713082045025842
"263","fes_youth_q3","5",0.0766430957845132
"264","fes_youth_q4","5",0.105462569997087
"265","fes_youth_q5","5",0.08066419228563
"266","fes_youth_q6","5",0.0727397235016721
"267","fes_youth_q7","5",0.0517112272322286
"268","fes_youth_q8","5",0.0914944658108295
"269","fes_youth_q9","5",0.0110494593051879
"270","fam_enviro1_p","5",0.74533067275946
"271","fam_enviro2r_p","5",0.644848638043386
"272","fam_enviro3_p","5",0.588409536832122
"273","fam_enviro4r_p","5",0.747198665961243
"274","fam_enviro5_p","5",0.566541057250564
"275","fam_enviro6_p","5",0.532049629424409
"276","fam_enviro7r_p","5",0.364508507666151
"277","fam_enviro8_p","5",0.42334337268064
"278","fam_enviro9r_p","5",0.368884972262845
"279","ksads_ptsd_raw_754_p","5",0.026188595753789
"280","ksads_ptsd_raw_755_p","5",0.0216778805709628
"281","ksads_ptsd_raw_756_p","5",0.0200741164959097
"282","ksads_ptsd_raw_757_p","5",0.020091181111867
"283","ksads_ptsd_raw_766_p","5",0.168590638418444
"284","ksads_ptsd_raw_770_p","5",0.0138845695541308
"285","parent_monitor_q1_y","5",0.0115000236725388
"286","parent_monitor_q2_y","5",-0.0140830369589557
"287","parent_monitor_q3_y","5",-0.0481315988265255
"288","parent_monitor_q4_y","5",0.0145215545904806
"289","parent_monitor_q5_y","5",0.00959399131822758
"290","nsc_p_ss_mean_3_items","5",0.0522507515289569
"291","neighborhood_crime_y","5",-0.00365079575637261
"292","reshist_addr1_adi_wsum","5",-0.045462313869191
"293","demo_prim_biosep","5",-0.0890623513026558
"294","demo_parent_sep","5",0.0581027912343776
"295","ksads_ptsd_raw_758_759_760","5",-0.0170049318456159
"296","ksads_ptsd_raw_761_to_765","5",0.0457778839849461
"297","ksads_ptsd_raw_767_768_769","5",0.0782707712118603
"298","demo_fam_exp1_5_v2","5",0.13435020800518
"299","demo_fam_exp6_7_v2","5",0.108514234533332
"300","famhx_ss_moth_prob_alc_dg","5",0.120702384125706
"301","famhx_ss_fath_prob_alc_p","6",-0.0620307193111856
"302","famhx_ss_fath_prob_dg_p","6",-0.0179128158753994
"303","asr_scr_anxdisord_r","6",0.0189512159641341
"304","asr_scr_somaticpr_r","6",0.0291072325579289
"305","asr_scr_depress_r","6",0.0288674147789631
"306","asr_scr_avoidant_r","6",0.0322651220357846
"307","asr_scr_adhd_r","6",0.04564510538461
"308","asr_scr_antisocial_r","6",0.0374630170400577
"309","demo_prnt_ed_v2","6",0.0609878191395452
"310","demo_comb_income_v2","6",0.064623801055687
"311","crpbi_parent1_y","6",0.15943141754677
"312","crpbi_caregiver12_y","6",0.00175370172685896
"313","crpbi_parent2_y","6",0.191936809132787
"314","crpbi_caregiver13_y","6",0.0630335207538881
"315","crpbi_parent3_y","6",0.157115153480995
"316","crpbi_caregiver14_y","6",0.0345447710539981
"317","crpbi_parent4_y","6",0.179674389513181
"318","crpbi_caregiver15_y","6",0.043952589605848
"319","crpbi_parent5_y","6",0.223339241403269
"320","crpbi_caregiver16_y","6",0.042518732640413
"321","fes_youth_q1","6",0.699073385402685
"322","fes_youth_q2","6",0.483203337507864
"323","fes_youth_q3","6",0.63222506556372
"324","fes_youth_q4","6",0.614337515477456
"325","fes_youth_q5","6",0.542679225334876
"326","fes_youth_q6","6",0.682351529711405
"327","fes_youth_q7","6",0.414660507039861
"328","fes_youth_q8","6",0.49231498867326
"329","fes_youth_q9","6",0.323948172062465
"330","fam_enviro1_p","6",0.133886271535788
"331","fam_enviro2r_p","6",0.067664211745813
"332","fam_enviro3_p","6",0.152354404634619
"333","fam_enviro4r_p","6",0.0983017891496272
"334","fam_enviro5_p","6",0.0997109803455721
"335","fam_enviro6_p","6",0.236410513803553
"336","fam_enviro7r_p","6",-0.042581186018076
"337","fam_enviro8_p","6",0.12922822767404
"338","fam_enviro9r_p","6",0.000410797034527002
